# *** Generated by BoomWorks.Org(C) SourceCounter 2.5.5.9 *** 
# *** Author: boomworks@hotmail.com *** 


Folder,File,Type,Lines,Code lines,Code//Comment,Comment lines,Blank lines,Size,Man-Day,Cost,UT Cases,UT Defects,IT Cases,IT Defects

E:\编译器\inter,Access.java,.java,38,30,6,0,2,1357,0.15,75.00,1.50,0.30,0.60,0.06
E:\编译器\inter,Add.java,.java,92,80,9,1,2,4696,0.41,202.50,4.05,0.81,1.62,0.16
E:\编译器\inter,And.java,.java,29,19,9,0,1,1201,0.09,47.50,0.95,0.19,0.38,0.04
E:\编译器\inter,Arith.java,.java,43,28,13,1,1,1543,0.14,72.50,1.45,0.29,0.58,0.06
E:\编译器\inter,Assign.java,.java,64,51,12,0,1,2581,0.25,127.50,2.55,0.51,1.02,0.10
E:\编译器\inter,AssignArray.java,.java,60,48,10,0,2,2577,0.24,120.00,2.40,0.48,0.96,0.10
E:\编译器\inter,Break.java,.java,21,15,5,0,1,592,0.08,37.50,0.75,0.15,0.30,0.03
E:\编译器\inter,Call.java,.java,112,90,22,0,0,6061,0.45,225.00,4.50,0.90,1.80,0.18
E:\编译器\inter,Cast.java,.java,94,73,19,0,2,4538,0.37,182.50,3.65,0.73,1.46,0.15
E:\编译器\inter,Constant.java,.java,44,35,8,0,1,1648,0.17,87.50,1.75,0.35,0.70,0.07
E:\编译器\inter,Continue.java,.java,21,15,4,0,2,645,0.08,37.50,0.75,0.15,0.30,0.03
E:\编译器\inter,Div.java,.java,92,80,9,1,2,4694,0.41,202.50,4.05,0.81,1.62,0.16
E:\编译器\inter,Do.java,.java,38,25,7,1,5,1254,0.13,65.00,1.30,0.26,0.52,0.05
E:\编译器\inter,Else.java,.java,37,26,6,2,3,1438,0.14,70.00,1.40,0.28,0.56,0.06
E:\编译器\inter,Expr.java,.java,62,46,15,0,1,2333,0.23,115.00,2.30,0.46,0.92,0.09
E:\编译器\inter,Id.java,.java,24,14,9,1,0,842,0.08,37.50,0.75,0.15,0.30,0.03
E:\编译器\inter,If.java,.java,30,21,8,0,1,1013,0.10,52.50,1.05,0.21,0.42,0.04
E:\编译器\inter,Logic.java,.java,50,40,8,0,2,1925,0.20,100.00,2.00,0.40,0.80,0.08
E:\编译器\inter,Mod.java,.java,81,68,10,1,2,3749,0.34,172.50,3.45,0.69,1.38,0.14
E:\编译器\inter,Mul.java,.java,92,81,9,0,2,4691,0.41,202.50,4.05,0.81,1.62,0.16
E:\编译器\inter,Neg.java,.java,43,37,6,0,0,1834,0.19,92.50,1.85,0.37,0.74,0.07
E:\编译器\inter,Node.java,.java,72,57,15,0,0,2824,0.28,142.50,2.85,0.57,1.14,0.11
E:\编译器\inter,Not.java,.java,56,46,8,0,2,2137,0.23,115.00,2.30,0.46,0.92,0.09
E:\编译器\inter,Op.java,.java,28,21,6,0,1,849,0.10,52.50,1.05,0.21,0.42,0.04
E:\编译器\inter,Or.java,.java,35,23,10,0,2,1344,0.12,57.50,1.15,0.23,0.46,0.05
E:\编译器\inter,Parser.java,.java,655,538,101,13,3,37542,2.76,1377.50,27.55,5.51,11.02,1.10
E:\编译器\inter,Rel.java,.java,62,47,12,0,3,2588,0.23,117.50,2.35,0.47,0.94,0.09
E:\编译器\inter,Return.java,.java,70,56,14,0,0,3733,0.28,140.00,2.80,0.56,1.12,0.11
E:\编译器\inter,Seq.java,.java,35,26,8,0,1,1257,0.13,65.00,1.30,0.26,0.52,0.05
E:\编译器\inter,Stamt.java,.java,36,23,12,0,1,1278,0.12,57.50,1.15,0.23,0.46,0.05
E:\编译器\inter,Sub.java,.java,91,80,9,1,1,4714,0.41,202.50,4.05,0.81,1.62,0.16
E:\编译器\inter,Temp.java,.java,25,18,5,0,2,631,0.09,45.00,0.90,0.18,0.36,0.04
E:\编译器\inter,Unary.java,.java,32,24,6,0,2,973,0.12,60.00,1.20,0.24,0.48,0.05
E:\编译器\inter,Void.java,.java,23,17,4,0,2,653,0.09,42.50,0.85,0.17,0.34,0.03
E:\编译器\inter,While.java,.java,40,30,9,0,1,1512,0.15,75.00,1.50,0.30,0.60,0.06
E:\编译器\lexer,Array.java,.java,24,16,8,0,0,795,0.08,40.00,0.80,0.16,0.32,0.03
E:\编译器\lexer,Char.java,.java,19,14,5,0,0,509,0.07,35.00,0.70,0.14,0.28,0.03
E:\编译器\lexer,Float.java,.java,19,14,3,0,2,517,0.07,35.00,0.70,0.14,0.28,0.03
E:\编译器\lexer,Func.java,.java,56,39,17,0,0,2718,0.19,97.50,1.95,0.39,0.78,0.08
E:\编译器\lexer,Lexer.java,.java,190,170,17,3,0,9749,0.87,432.50,8.65,1.73,3.46,0.35
E:\编译器\lexer,Num.java,.java,19,14,3,0,2,475,0.07,35.00,0.70,0.14,0.28,0.03
E:\编译器\lexer,Tag.java,.java,58,20,20,16,2,2582,0.18,90.00,1.80,0.36,0.72,0.07
E:\编译器\lexer,Token.java,.java,17,12,3,1,1,413,0.06,32.50,0.65,0.13,0.26,0.03
E:\编译器\lexer,Type.java,.java,64,46,18,0,0,3125,0.23,115.00,2.30,0.46,0.92,0.09
E:\编译器\lexer,Word.java,.java,49,35,11,0,3,2570,0.17,87.50,1.75,0.35,0.70,0.07
E:\编译器\symbol,Env.java,.java,41,33,8,0,0,1376,0.17,82.50,1.65,0.33,0.66,0.07
E:\编译器\tool,FileManager.java,.java,18,13,3,0,2,561,0.06,32.50,0.65,0.13,0.26,0.03


# *** Total ***
# File,47
# Size,113
# Lines,3001,100%
# Code lines,2354,78.4%
# Code//Comment,42,1.4%
# Comment lines,539,18.0%
# Blank lines,66,2.2%
# Man-Day, 0.60
# Cost, 5990.00
# UT Cases, 119.80
# UT Defects, 23.96
# IT Cases, 47.92
# IT Defects, 4.79
